family,setup,side,n,PF,expR,n2023,pf2023,net2023,n2024,pf2024,net2024,profile,stop_mult,rr,min_pf_23_24,stable_score
SWEEP_SHORT|06_0830|FLAT,SWEEP_SHORT,SHORT,76,0.841904761904762,-0.10921052631578944,39,0.9066666666666664,-2.450000000000002,37,0.777142857142857,-5.8500000000000005,P105_R175,1.05,1.75,0.777142857142857,1.6389191729323307
EXHAUST_SHORT|06_0830|SU,EXHAUST_SHORT,SHORT,453,0.8756073858114668,-0.08476821192052982,199,0.7675485008818341,-32.95,254,0.9673554956573819,-5.450000000000006,P075_R175,0.75,1.75,0.7675485008818341,1.6378796267096485
PULLBACK_LONG|02_06|UP,PULLBACK_LONG,LONG,144,0.8891855807743658,-0.08645833333333326,70,1.028571428571429,1.5000000000000042,74,0.7669172932330829,-13.949999999999996,P075_R275,0.75,2.75,0.7669172932330829,1.6366568765664162
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,1.117913832199547,0.07323943661971828,27,2.023809523809523,12.899999999999995,44,0.7555555555555553,-7.700000000000001,P075_R175,0.75,1.75,0.7555555555555553,1.6361893583724567
EXHAUST_LONG|0830_11|SD,EXHAUST_LONG,LONG,423,0.7924211938296443,-0.1463356973995272,208,0.7863945578231292,-31.4,215,0.7982804232804233,-30.500000000000004,P075_R175,0.75,1.75,0.7863945578231292,1.6351770637332945
EXHAUST_SHORT|02_06|UP,EXHAUST_SHORT,SHORT,84,0.8571428571428577,-0.11249999999999995,39,0.7714285714285712,-7.199999999999999,45,0.935064935064935,-2.2499999999999982,P075_R275,0.75,2.75,0.7714285714285712,1.632053571428571
SWEEP_LONG|06_0830|SD,SWEEP_LONG,LONG,239,0.8161683277962344,-0.13891213389121335,129,0.7801418439716313,-21.69999999999999,110,0.8595848595848598,-11.499999999999996,P105_R225,1.05,2.25,0.7801418439716313,1.6315225971097065
SWEEP_SHORT|1330_1515|SU,SWEEP_SHORT,SHORT,153,0.819047619047619,-0.13660130718954241,57,0.8904761904761906,-4.599999999999997,96,0.7782312925170071,-16.299999999999997,P075_R225,0.75,2.25,0.7782312925170071,1.6304208350006673
SWEEP_SHORT|1330_1515|SU,SWEEP_SHORT,SHORT,153,0.8095238095238095,-0.13333333333333333,57,0.8751608751608755,-4.8500000000000005,96,0.7721611721611724,-15.55,P090_R175,0.9,1.75,0.7721611721611724,1.6254945054945056
PULLBACK_LONG|06_0830|UP,PULLBACK_LONG,LONG,117,0.894308943089431,-0.0777777777777777,53,0.7521367521367524,-10.150000000000002,64,1.0232558139534889,1.0500000000000025,P075_R225,0.75,2.25,0.7521367521367524,1.62491452991453
PULLBACK_LONG|02_06|SU,PULLBACK_LONG,LONG,793,0.7943685300207037,-0.15655737704918027,395,0.778439153439153,-66.99999999999999,398,0.8103534096565451,-57.14999999999998,P075_R225,0.75,2.25,0.778439153439153,1.62364407147194
PULLBACK_SHORT|06_0830|SD,PULLBACK_SHORT,SHORT,458,0.8822790113112692,-0.09203056768558948,229,0.7554479418886195,-45.44999999999999,229,1.0191637630662018,3.3000000000000096,P075_R275,0.75,2.75,0.7554479418886195,1.623237243198663
VWAP_LONG|02_06|UP,VWAP_LONG,LONG,114,0.9444444444444444,-0.03684210526315787,48,0.7359307359307359,-9.149999999999999,66,1.1208791208791216,4.949999999999999,P090_R175,0.9,1.75,0.7359307359307359,1.6230359990886305
SWEEP_SHORT|11_1330|SU,SWEEP_SHORT,SHORT,238,0.7892857142857139,-0.14873949579831938,108,0.8095238095238095,-14.40000000000001,130,0.7727272727272726,-21.000000000000004,P075_R175,0.75,1.75,0.7727272727272726,1.6206684491978607
PULLBACK_SHORT|02_06|DN,PULLBACK_SHORT,SHORT,148,0.777142857142857,-0.15810810810810816,80,0.7795414462081132,-12.5,68,0.7743271221532095,-10.900000000000004,P075_R175,0.75,1.75,0.7743271221532095,1.6189892843153717
SWEEP_SHORT|06_0830|DN,SWEEP_SHORT,SHORT,69,0.9199134199134201,-0.053623188405797106,28,0.7669172932330826,-4.650000000000002,41,1.036190476190476,0.9499999999999991,P090_R175,0.9,1.75,0.7669172932330826,1.6181491772910537
PULLBACK_SHORT|06_0830|SD,PULLBACK_SHORT,SHORT,458,0.8304297328687569,-0.12751091703056763,229,0.760770975056689,-42.19999999999999,229,0.903571428571428,-16.199999999999996,P090_R225,0.9,2.25,0.760770975056689,1.6161421540959902
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,1.0084033613445382,0.00633802816901408,27,1.5126050420168067,9.150000000000002,44,0.7563025210084034,-8.7,P075_R275,0.75,2.75,0.7563025210084034,1.6135208308675584
SWEEP_LONG|02_06|UP,SWEEP_LONG,LONG,71,0.8800000000000004,-0.08873239436619705,27,1.0476190476190474,0.9000000000000004,44,0.7857142857142856,-7.1999999999999975,P105_R225,1.05,2.25,0.7857142857142856,1.6096579476861166
VWAP_SHORT|0830_11|DN,VWAP_SHORT,SHORT,84,0.8095238095238098,-0.13333333333333336,44,0.7555555555555553,-7.7,40,0.8717948717948716,-3.5000000000000004,P090_R175,0.9,1.75,0.7555555555555553,1.6088888888888886
SWEEP_SHORT|06_0830|UP,SWEEP_SHORT,SHORT,76,0.8571428571428574,-0.11249999999999996,40,0.7465437788018432,-8.25,36,0.9890109890109888,-0.29999999999999893,P105_R275,1.05,2.75,0.7465437788018432,1.6071687788018432
SWEEP_SHORT|06_0830|DN,SWEEP_SHORT,SHORT,69,0.8634920634920636,-0.09347826086956527,28,0.7669172932330826,-4.650000000000002,41,0.9340659340659337,-1.800000000000001,P075_R175,0.75,1.75,0.7669172932330826,1.6041999019287347
SWEEP_LONG|06_0830|SU,SWEEP_LONG,LONG,115,0.7990105132962277,-0.14130434782608695,52,0.8571428571428572,-5.1,63,0.7530454042081951,-11.150000000000006,P105_R175,1.05,1.75,0.7530454042081951,1.6035888824690647
PULLBACK_SHORT|02_06|SD,PULLBACK_SHORT,SHORT,796,0.7631370477950883,-0.16903266331658293,421,0.7642357642357642,-70.80000000000001,375,0.7619047619047615,-63.75,P075_R175,0.75,1.75,0.7619047619047615,1.6027433297439573
PULLBACK_LONG|06_0830|SU,PULLBACK_LONG,LONG,515,0.7977915804002756,-0.14223300970873787,262,0.8471760797342188,-27.60000000000001,253,0.7486925406000547,-45.65,P105_R175,1.05,1.75,0.7486925406000547,1.5989109872019964
SWEEP_SHORT|06_0830|SU,SWEEP_SHORT,SHORT,308,0.8374384236453198,-0.11250000000000002,141,0.975108225108225,-2.299999999999999,167,0.7320910973084885,-32.349999999999994,P105_R175,1.05,1.75,0.7320910973084885,1.5927160973084884
VWAP_LONG|02_06|UP,VWAP_LONG,LONG,114,0.7597402597402597,-0.19473684210526312,48,0.7644787644787647,-9.149999999999999,66,0.7563025210084037,-13.049999999999997,P075_R275,0.75,2.75,0.7563025210084037,1.5881446262715615
